Date,Fajr,Dhuhr,Asr,Maghrib,Isha,Quran,PeacefulDay
2/10/2026,0,0,1,1,1,0,1
2/11/2026,1,0,1,1,1,1,1
2/12/2026,1,0,1,1,1,1,1
2/13/2026,1,0,1,1,1,1,1
2/14/2026,1,1,0,0,0,0,1
2/15/2026,1,1,1,1,1,0,1
2/16/2026,1,0,1,1,1,1,1
2/17/2026,1,0,1,1,1,1,1
2/18/2026,1,0,1,1,1,0,1
2/19/2026,1,0,0,1,1,1,1
2/20/2026,1,0,1,1,1,0,1
2/21/2026,1,1,1,1,1,1,1
2/22/2026,1,1,1,1,0,1,1
2/23/2026,1,0,1,1,1,1,1
2/24/2026,1,0,1,1,1,0,1
2/25/2026,1,0,1,1,1,0,1
2/26/2026,1,0,1,1,1,0,1
2/27/2026,1,0,1,1,1,0,1
2/28/2026,0,1,1,1,1,0,1
3/1/2026,0,1,0,1,0,0,1
3/2/2026,1,0,1,1,0,0,1
3/3/2026,1,0,1,1,0,0,1
3/4/2026,1,0,1,1,0,0,1
3/5/2026,0,0,1,1,1,0,1
3/6/2026,1,0,0,1,1,1,0
3/7/2026,1,1,1,1,1,0,1
3/8/2026,1,1,1,1,1,0,0
3/9/2026,1,0,1,1,1,0,0
3/10/2026,1,0,1,1,1,0,0
3/11/2026,1,0,1,1,1,0,1
3/12/2026,1,0,0,1,1,0,1
3/13/2026,1,0,1,1,0,0,1
3/14/2026,1,1,1,1,1,0,1
3/15/2026,1,1,1,1,1,0,1
3/16/2026,1,0,1,1,1,0,1
3/17/2026,1,0,1,1,1,0,1
3/18/2026,1,0,1,1,1,1,1
3/19/2026,1,0,1,1,0,0,0
3/20/2026,1,1,1,1,1,0,1
3/21/2026,0,0,0,0,0,0,1
3/22/2026,1,1,1,1,1,0,1
3/23/2026,1,0,1,1,1,0,1
3/24/2026,1,0,1,0,0,0,0
